Desc	Orthogroup	AmyTra	ArcPla	BomMor	DanPle	EupSim	GynQin	HelArm	LymMon	ManSex	OpeBru	OrgAnt	PluXyl	SpoLit	TriNi
(null)	OG0000000	6	7	9	7	11	8	28	9	37	8	11	26	38	36
(null)	OG0000001	5	40	17	25	1	0	6	84	10	1	6	0	24	17
(null)	OG0000002	13	6	36	13	5	35	12	11	54	0	7	0	17	1
(null)	OG0000003	5	8	13	16	17	0	1	93	4	8	16	8	5	3
(null)	OG0000004	15	2	11	9	9	6	19	9	25	8	10	8	24	37
(null)	OG0000005	28	4	32	0	6	0	6	4	2	4	8	27	28	35
(null)	OG0000006	13	12	2	7	6	6	20	4	25	2	10	3	29	39
(null)	OG0000007	16	11	10	15	11	7	12	13	16	11	10	9	11	13
(null)	OG0000008	5	5	4	4	10	11	25	14	14	9	14	7	14	15
(null)	OG0000009	24	0	11	2	2	0	5	5	0	11	5	31	37	16
(null)	OG0000010	3	13	14	4	2	9	17	4	25	17	3	0	22	12
(null)	OG0000011	10	2	2	18	5	6	22	5	10	9	5	3	19	28
(null)	OG0000012	35	3	7	2	16	2	4	6	3	0	14	28	5	18
(null)	OG0000013	7	9	2	3	16	6	9	19	8	9	17	6	20	8
(null)	OG0000014	10	5	9	3	3	0	2	3	16	2	4	38	14	26
(null)	OG0000015	7	4	41	0	8	0	2	5	20	14	7	10	5	6
(null)	OG0000016	1	5	13	1	6	14	8	10	4	19	10	7	7	24
(null)	OG0000017	8	2	2	0	3	10	12	1	3	38	3	4	26	13
(null)	OG0000018	4	76	14	7	4	5	2	1	0	1	0	0	3	8
(null)	OG0000019	1	2	0	1	14	5	0	91	0	1	9	0	0	0
(null)	OG0000020	11	1	15	0	9	0	5	4	5	4	22	17	16	14
(null)	OG0000021	8	4	6	9	5	6	11	10	13	10	9	5	12	15
(null)	OG0000022	8	0	7	6	7	3	20	7	8	7	6	1	20	22
(null)	OG0000023	9	9	6	9	6	9	9	4	14	9	8	8	8	10
(null)	OG0000024	1	8	7	2	7	8	25	9	7	11	5	1	14	13
(null)	OG0000025	27	4	2	2	6	15	3	4	3	14	8	10	5	13
(null)	OG0000026	12	7	10	0	3	6	14	15	3	8	12	13	4	9
(null)	OG0000027	15	10	6	9	6	9	5	7	9	8	6	7	8	9
(null)	OG0000028	7	7	2	0	0	14	4	0	3	38	3	8	20	8
(null)	OG0000029	10	2	32	1	1	1	1	1	13	0	1	21	15	14
(null)	OG0000030	5	9	4	0	37	3	0	7	2	8	22	7	1	4
(null)	OG0000031	1	1	2	1	27	30	1	30	1	0	7	0	1	1
(null)	OG0000032	5	3	4	0	0	15	7	0	7	19	2	12	15	13
(null)	OG0000033	1	6	7	2	7	16	10	6	10	7	7	6	9	6
(null)	OG0000034	0	9	0	0	0	12	3	16	2	3	20	29	4	2
(null)	OG0000035	5	4	9	2	3	9	8	14	6	25	3	5	3	3
(null)	OG0000036	1	0	16	1	9	5	8	11	5	13	8	0	14	8
(null)	OG0000037	3	3	2	1	2	5	0	62	0	17	3	0	0	0
(null)	OG0000038	5	1	0	16	7	10	9	14	5	2	9	5	8	7
(null)	OG0000039	4	14	0	7	3	13	7	7	13	1	9	3	8	9
(null)	OG0000040	17	7	0	0	7	4	1	0	5	4	5	27	9	11
(null)	OG0000041	11	5	1	5	8	7	6	8	4	10	8	7	6	11
(null)	OG0000042	1	5	8	4	5	7	8	8	21	8	8	2	8	4
(null)	OG0000043	2	2	7	8	3	10	10	9	4	10	7	13	4	7
